Date,FilingID,Company,Shares,Value
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Tellabs, Inc.",5836974,23756484
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Rational Software Corporation,5024291,21704937
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"PMC - Sierra, Inc.",4591545,17815195
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Protein Design Labs, Inc.",2129647,17676070
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Compuware Corporation,5771794,17603972
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,ImClone Systems Incorporated,1873519,14613448
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Charter Communications, Inc.",7614052,14162136
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Abgenix, Inc.",2066548,13411896
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Sepracor Inc.,2110240,11057658
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Atmel Corporation,8716733,9170002
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Conexant Systems, Inc.",7261222,8059955
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,LM Ericsson Telephone Company,22368153,8052535
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"i2 Technologies, Inc.",11543663,6002705
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,September,30,2003
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Microsoft Corporation,72787050,2022752120
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Intel Corporation,44582519,1226465098
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Cisco Systems, Inc.",48587903,949407624
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,QUALCOMM Inc.,18721464,779561761
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Amgen Inc.,11766296,759749733
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Dell Inc.,18480572,617066299
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Comcast Corporation,18574782,573589268
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,eBay Inc.,9365697,501158446
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Nextel Communications, Inc.",25184034,495873629
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,InterActiveCorp,14764901,487979978
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Oracle Corporation,42590799,477868765
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Maxim Integrated Products, Inc.",8897184,351438768
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Starbucks Corporation,10634405,306270864
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Applied Materials, Inc.",16820827,305129802
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Bed Bath & Beyond Inc.,7775345,296862672
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Linear Technology Corporation,8181166,292967554
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Electronic Arts Inc.,2909974,268386902
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,VERITAS Software Corporation,8510098,267217077
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Chiron Corporation,5101929,263718710
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Xilinx, Inc.",8843491,252127928
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Genzyme Corporation,5444370,251802113
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Amazon.com, Inc.",5179548,250482941
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Intuit Inc.,5056283,243915092
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Paychex, Inc.",6992141,237243344
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,KLA-Tencor Corporation,4510561,231842835
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Apollo Group, Inc.",3475736,229502848
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Biomet, Inc.",6752055,226936569
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Gilead Sciences, Inc.",3878229,216909348
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Teva Pharmaceutical Industries Limited,3774477,215711360
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Apple Computer, Inc.",9888064,203990760
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Yahoo! Inc.,5754808,203605107
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Altera Corporation,10518780,198804942
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Symantec Corporation,3103699,195595111
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,PACCAR Inc.,2555616,190878959
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,EchoStar Communications Corporation,4962491,189914531
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"PeopleSoft, Inc.",10059801,182987780
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Adobe Systems Incorporated,4470795,175523412
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"MedImmune, Inc.",5228790,172602358
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Fiserv, Inc.",4735566,171569556
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Flextronics International Ltd.,11090008,157256313
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Staples, Inc.",6440121,152952874
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Cintas Corporation,4005428,147559968
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Costco Wholesale Corporation,4708773,146348665
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Network Appliance, Inc.",6991338,143532169
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Biogen, Inc.",3591824,137315432
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,JDS Uniphase Corporation,31371336,112936810
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Siebel Systems, Inc.",11318135,110012272
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,IDEC Pharmaceuticals Corporation,3304747,109552363
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Broadcom Corporation,4049241,107790795
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Sanmina-SCI Corporation,10649885,103303885
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Novellus Systems, Inc.",3017803,101850851
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Millennium Pharmaceuticals, Inc.",6406052,98589140
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,CDW Corporation,1682722,97160368
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Sun Microsystems, Inc.",27476343,90946695
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,QLogic Corporation,1878723,88318768
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"BEA Systems, Inc.",7278183,87702105
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Synopsys, Inc.",2779026,85510630
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Citrix Systems, Inc.",3823829,84430144
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Express Scripts, Inc.",1371327,83856646
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Mercury Interactive Corporation,1845786,83817142
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Check Point Software Technologies Ltd.,4750515,79808652
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Microchip Technology Incorporated,3331309,79751537
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Patterson Dental Company,1279078,73649311
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Juniper Networks, Inc.",4930214,73558792
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Dollar Tree Stores, Inc.",2151045,72060008
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Pixar,1073213,71433057
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Smurfit-Stone Container Corporation,4709861,70553718
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Expeditors International of Washington, Inc",2009928,69161622
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Sigma-Aldrich Corporation,1329739,69066644
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Ross Stores, Inc.",1474694,68366814
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Lincare Holdings Inc.,1856846,68053406
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,DENTSPLY International Inc.,1482807,66489066
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,American Power Conversion Corporation,3877965,66468320
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,CIENA Corporation,10883827,64323418
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"PETsMART, Inc.",2741635,62235115
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"C.H. Robinson Worldwide, Inc.",1635251,60847690
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"VeriSign, Inc.",4435626,59747882
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Monster Worldwide Inc.,2356800,59344224
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,PanAmSat Corporation,3955328,57273149
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Comverse Technology, Inc.",3822763,57188534
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Molex Incorporated,1923229,54985117
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Gentex Corporation,1555202,54183237
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,NVIDIA Corporation,3394822,54015013
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Fastenal Company,1418337,53613139
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Invitrogen Corporation,922342,53486613
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,First Health Group Corp.,1926822,50386395
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Ryanair Holdings plc,1188047,48115904
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Lamar Advertising Company,1628312,47774674
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"ADC Telecommunications, Inc.",19659022,45805521
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Cephalon, Inc.",994586,45671389
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,ICOS Corporation,1187145,45491396
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Henry Schein, Inc.",790733,44834561
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Patterson-UTI Energy, Inc.",1633447,44217410
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"RF Micro Devices, Inc.",4103453,38121079
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,LM Ericsson Telephone Company,2383062,34983351
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Human Genome Sciences, Inc.",2513299,34331665
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Tellabs, Inc.",4602261,31249353
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Brocade Communications Systems, Inc.",5126688,26761312
2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Compuware Corporation,4616223,24742956
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,September,30,2004
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Microsoft Corporation,66304339,1833314973
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,QUALCOMM Inc.,34783441,1357945537
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,eBay Inc.,8735006,803096452
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Intel Corporation,39785607,798099276
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Cisco Systems, Inc.",42794203,774575074
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Amgen Inc.,10452430,592443732
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Nextel Communications, Inc.",24594703,586337720
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Dell Inc.,16266090,579072804
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Comcast Corporation,16854182,475962100
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Starbucks Corporation,9790924,445095405
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Oracle Corporation,38189869,430781722
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Biogen Idec, Inc.",6515895,398577297
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Yahoo! Inc.,11589723,393007507
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Apple Computer, Inc.",9590778,371642648
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Maxim Integrated Products, Inc.",8062954,340982325
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Symantec Corporation,5839904,320493932
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Biomet, Inc.",6058975,284044748
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,IAC/InterActiveCorp,12767264,281135153
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Gilead Sciences, Inc.",7512535,280818558
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Genzyme Corporation,5064492,275559010
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Bed Bath & Beyond Inc.,7160848,265739069
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Linear Technology Corporation,7279903,263823685
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Applied Materials, Inc.",15561913,256615945
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Research In Motion, Ltd.",3313771,252973278
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Electronic Arts Inc.,5423746,249438079
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,PACCAR Inc.,3445319,238140449
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Apollo Group, Inc.",3141780,230512399
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Xilinx, Inc.",8156940,220237380
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Teva Pharmaceutical Industries Limited,7945122,206175916
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Adobe Systems Incorporated,4163513,205968988
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Chiron Corporation,4650227,205540033
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Amazon.com, Inc.",4786371,195571119
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Intuit Inc.,4271446,193923648
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Paychex, Inc.",6356107,191636626
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"PeopleSoft, Inc.",9185129,182324811
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Altera Corporation,9260666,181231234
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Costco Wholesale Corporation,4303698,178861689
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Staples, Inc.",5921081,176566635
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,KLA -Tencor Corporation,4215554,174861180
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Cintas Corporation,3645427,153253751
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Network Appliance, Inc.",6630975,152512425
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Fiserv, Inc.",4327593,150859892
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Juniper Networks, Inc.",6218303,146751951
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Kmart Holding Corporation,1660998,145287495
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Flextronics International Ltd.,10687928,141615046
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,VERITAS Software Corporation,7840274,139556877
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,EchoStar Communications Corporation,3947364,122841968
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Marvell Technology Group, Ltd.",4500880,117607994
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Broadcom Corporation,4238042,115656166
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"MedImmune, Inc.",4725391,111991767
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Sun Microsystems, Inc.",25718431,103902461
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,JDS Uniphase Corporation,28968058,97622355
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Expeditors International of Washington, Inc",1842884,95277103
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Whole Foods Market, Inc.",1081857,92812512
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Patterson Companies, Inc.",1164840,89180150
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,CDW Corporation,1531388,88866446
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Smurfit-Stone Container Corporation,4407071,85364965
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"VeriSign, Inc.",4270764,84902788
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Microchip Technology Incorporated,3031509,81365702
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Millennium Pharmaceuticals, Inc.",5927062,81260020
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Express Scripts, Inc.",1226495,80139183
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Pixar,1007645,79503191
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Siebel System, Inc.",10491352,79104794
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Garmin, Ltd.",1776697,76842145
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Sandisk Corporation,2632150,76648208
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Check Point Software Technologies Ltd.,4506046,76467601
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Fastenal Company,1285030,74017728
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"PETsMART, Inc.",2535432,71980914
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,DENTSPLY International Inc.,1369230,71117806
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Sanmina-SCI Corporation,9855387,69480478
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Robinson (C.H.) Worldwide, Inc.",1495313,69367570
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Novellus System, Inc.",2575669,68487039
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Sigma-Aldrich Corporation,1175531,68180798
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Comverse Technology, Inc.",3597834,67747214
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Lamar Advertising Company,1505543,62645644
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Citrix Systems, Inc.",3559475,62362002
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,American Power Conversion Corporation,3568355,62053693
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Mercury Interactive Corporation,1757312,61295043
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Ross Stores, Inc.",2571831,60283719
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Patterson-UTI Energy, Inc.",3052473,58210660
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Lam Research Corporation,2451453,53637792
2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Career Education Corporation,1844989,52453037
